country,climate_acceptance_index,climate_concern_index,climate_action_acceptance_index,climate_affordability_concern_index,total_mobilization_events,weighted_mobilization_events,social_mobilization_index,social_mobilization_rank,poverty_rate,poverty_index,transition_tension_index,transition_tension_rank,transition_friction_index,transition_friction_rank,climate_acceptance_gap,transition_friction_type
Austria,0.2531901469871829,0.6683450822423632,0.6809981880999545,0.4935129740518962,2316,2615,0.0507066314645131,24,18.6,0.3879781420765028,0.4171698757329107,11,0.493869444371763,10,0.7468098530128171,Acceptance-gap friction
Belgium,0.538631514798654,0.7611700417872067,0.7011131663492821,0.4682080924855492,5392,5791,0.1123621680385153,14,16.5,0.2732240437158469,0.1775716811494392,17,0.3653573330300301,14,0.461368485201346,Affordability-driven friction
Bulgaria,0.3818435116711298,0.72428810720268,0.6899183851376818,0.4960668633235005,5032,5177,0.1004426153129367,16,29.0,0.9562841530054644,1.0,1,0.4742105566606316,11,0.6181564883288702,Economic-vulnerability friction
Croatia,0.7037984527386623,0.8006793776024546,0.729996801235954,0.4566074950690335,1426,1521,0.0294688616244758,34,20.7,0.5027322404371584,0.2862659726393695,13,0.1810232745321608,21,0.29620154726133774,Economic-vulnerability friction
Cyprus,0.8431190521841185,0.8212944554892865,0.7825514980701981,0.4623015873015873,2216,2674,0.0518519956514986,23,17.1,0.3060109289617487,0.0303602671265892,24,0.1331555017475308,22,0.15688094781588147,Affordability-driven friction
Czech Republic,0.0579973919708936,0.6095617529880478,0.6141463386219933,0.4624134520276953,1878,2002,0.0388064916912564,29,11.5,0.0,0.0551310920663099,22,0.5510846901982974,5,0.9420026080291064,Acceptance-gap friction
Denmark,0.8319927739249932,0.7761077710977511,0.7425479216827138,0.3825,3145,3437,0.0666640782730237,19,17.9,0.349726775956284,0.0180846997524438,25,0.0550518112206061,25,0.16800722607500684,Affordability-driven friction
Estonia,0.0,0.5666214995483289,0.5894694445318726,0.4228855721393035,434,448,0.0086387637831961,43,21.8,0.5628415300546449,0.6302434476389953,10,0.5051924695506187,8,1.0,Acceptance-gap friction
Finland,0.4217131060001245,0.7157648630594523,0.6722338383330464,0.4505494505494505,1901,2077,0.0402624631153905,27,17.2,0.3114754098360655,0.2118949026107444,15,0.3385083505327452,16,0.5782868939998755,Acceptance-gap friction
France,0.7935864626429736,0.8199732798931196,0.7033641396126614,0.4057826520438684,46787,51515,1.0,1,20.8,0.5081967213114754,0.7986033469677584,6,1.0,1,0.2064135373570264,Mobilization-driven friction
Germany,0.4285718057281326,0.7137425367090773,0.665510392096299,0.4384818759676963,27728,31616,0.6137016617487188,3,21.2,0.5300546448087431,0.783146456267509,7,0.8698688723734129,2,0.5714281942718674,Mobilization-driven friction
Greece,0.5811044939949453,0.8365363375303733,0.7432186139296344,0.5651093439363817,7042,9560,0.1855295853393384,9,27.5,0.8743169398907104,0.9361579788573474,2,0.5317509249378722,7,0.41889550600505465,Economic-vulnerability friction
Hungary,0.7806310892451519,0.803177691309987,0.7254980658794388,0.4173955296404276,1386,1488,0.0288282341978568,35,19.5,0.4371584699453552,0.1442736152375868,19,0.089944238904645,23,0.2193689107548481,Economic-vulnerability friction
Ireland,0.5346796700519227,0.755,0.7476089213894536,0.5104477611940299,1955,2098,0.0406701351141481,26,18.8,0.3989071038251366,0.3089926055637996,12,0.3508498787897118,15,0.46532032994807726,Affordability-driven friction
Italy,0.6816251802936268,0.7890309188244291,0.6956855355624523,0.42138671875,29396,32357,0.6280866594191644,2,22.6,0.6065573770491803,0.7420083519740134,8,0.7238932169032578,3,0.31837481970637316,Mobilization-driven friction
Latvia,0.0786634941541541,0.6317177711836465,0.6327365495213183,0.4931506849315069,330,355,0.0068333592172697,45,24.7,0.721311475409836,0.8274066733289744,5,0.5469959000117254,6,0.9213365058458459,Acceptance-gap friction
Lithuania,0.5195407554766449,0.7199421643866087,0.7113685893484775,0.4464816650148662,616,662,0.012793135580059,42,26.3,0.8087431693989071,0.6793759630129317,9,0.2535289042401376,18,0.4804592445233551,Economic-vulnerability friction
Luxembourg,0.6579809848126449,0.8183212798597413,0.6911507993043237,0.4575936883629191,248,256,0.0049114769374126,47,18.2,0.3661202185792349,0.1467547877768519,18,0.1837970579169557,20,0.3420190151873551,Affordability-driven friction
Malta,0.9102901416145304,0.847442680776014,0.8028244298427171,0.4761904761904761,407,435,0.0083863954030128,44,19.4,0.4316939890710382,0.1203528090015762,20,0.0717791234476181,24,0.08970985838546963,Affordability-driven friction
Netherlands,0.620665841471153,0.75725824055883,0.728508483144361,0.4519607843137254,5519,6587,0.1278148780866594,12,15.8,0.2349726775956284,0.0934287299219548,21,0.315182109509845,17,0.379334158528847,Affordability-driven friction
Poland,0.3780038254010122,0.7000216590859866,0.6650887443689358,0.4488304093567251,8668,9562,0.185568411243982,8,15.0,0.1912568306010929,0.1905362758924125,16,0.4997111651014104,9,0.6219961745989878,Acceptance-gap friction
Portugal,0.9080448874824658,0.8128479180583389,0.7551412960205616,0.395,2994,3113,0.060374281720764,21,18.6,0.3879781420765028,0.031780056007615,23,0.0227515697440674,26,0.09195511251753419,Affordability-driven friction
Romania,0.2715713407901504,0.6562066389155726,0.6470236804732549,0.4384976525821596,3551,3707,0.0719055753999068,18,27.4,0.8688524590163933,0.886576090954769,4,0.4362848364438039,12,0.7284286592098497,Economic-vulnerability friction
Slovakia,0.3538268756376119,0.6930206588498046,0.673126813434556,0.4615768463073852,1062,1113,0.0215483770771858,40,16.7,0.2841530054644808,0.2124629480566027,14,0.3713643170206595,13,0.646173124362388,Acceptance-gap friction
Slovenia,0.6047501834841077,0.7619683812068582,0.701129294729792,0.437,672,748,0.0144626494797328,41,15.5,0.2185792349726776,0.0,27,0.1967368036995362,19,0.3952498165158923,Affordability-driven friction
Spain,0.6990901649779946,0.8033935413245759,0.7289859598950413,0.460591133004926,25822,26926,0.5226549153595279,4,25.7,0.7759562841530054,0.8869938762877758,3,0.6615441663306855,4,0.3009098350220054,Economic-vulnerability friction
Sweden,1.0,0.7893814997263273,0.7693429747765896,0.3411996066863323,7796,8161,0.1583708650411554,10,18.6,0.3879781420765028,0.0001337323260202,26,0.0,27,0.0,Economic-vulnerability friction
