country,climate_acceptance_index,climate_concern_index,climate_action_acceptance_index,climate_affordability_concern_index,political_resistance_presence_index,protest_resistance_per_capita_index,weighted_resistance_events_per_million,poverty_rate,poverty_index
Sweden,1.0,0.7893814997263273,0.7693429747765896,0.3411996066863323,0.6666666666666666,0.2739929800029589,773.4450470658512,18.6,0.3879781420765028
Malta,0.9102901416145304,0.847442680776014,0.8028244298427171,0.4761904761904761,,0.2892344642138225,816.1902117216172,19.4,0.4316939890710382
Portugal,0.9080448874824658,0.8128479180583389,0.7551412960205616,0.395,0.5555555555555555,0.1046239575883624,298.44493221235126,18.6,0.3879781420765028
Cyprus,0.8431190521841185,0.8212944554892865,0.7825514980701981,0.4623015873015873,0.8333333333333334,0.7071094464115881,1988.1321743578533,17.1,0.3060109289617487
Denmark,0.8319927739249932,0.7761077710977511,0.7425479216827138,0.3825,0.6666666666666666,0.2042426353944747,577.828273539231,17.9,0.349726775956284
France,0.7935864626429736,0.8199732798931196,0.7033641396126614,0.4057826520438684,0.75,0.2746811025359381,775.374905770463,20.8,0.5081967213114754
Hungary,0.7806310892451519,0.803177691309987,0.7254980658794388,0.4173955296404276,0.8888888888888888,0.0529829914312858,153.6164121792625,19.5,0.4371584699453552
Croatia,0.7037984527386623,0.8006793776024546,0.729996801235954,0.4566074950690335,0.8518518518518517,0.1374113583901065,390.3981059660069,20.7,0.5027322404371584
Spain,0.6990901649779946,0.8033935413245759,0.7289859598950413,0.460591133004926,0.5555555555555555,0.1985965023920094,561.9935371369382,25.7,0.7759562841530054
Italy,0.6816251802936268,0.7890309188244291,0.6956855355624523,0.42138671875,0.6190476190476191,0.1921164799416937,543.8201346795597,22.6,0.6065573770491803
W - Germany - West,0.6750310917744378,0.7460632088976984,0.7020808097540296,0.38800792864222,,,,,
Luxembourg,0.6579809848126449,0.8183212798597413,0.6911507993043237,0.4575936883629191,0.6666666666666666,0.135452326554901,384.90394691934006,18.2,0.3661202185792349
The Netherlands,0.620665841471153,0.75725824055883,0.728508483144361,0.4519607843137254,,,,,
Slovenia,0.6047501834841077,0.7619683812068582,0.701129294729792,0.437,0.6666666666666666,0.1241112832496883,353.09767682499097,15.5,0.2185792349726776
Greece,0.5811044939949453,0.8365363375303733,0.7432186139296344,0.5651093439363817,0.6666666666666666,0.331002033590843,933.328516993706,27.5,0.8743169398907104
Belgium,0.538631514798654,0.7611700417872067,0.7011131663492821,0.4682080924855492,0.6666666666666666,0.1744993920774245,494.4125237740196,16.5,0.2732240437158469
Ireland,0.5346796700519227,0.755,0.7476089213894536,0.5104477611940299,0.5,0.1421626588901765,403.7232598286312,18.8,0.3989071038251366
Lithuania,0.5195407554766449,0.7199421643866087,0.7113685893484775,0.4464816650148662,0.3333333333333333,0.0809129299853761,231.94669850853367,26.3,0.8087431693989071
Finland,0.4217131060001245,0.7157648630594523,0.6722338383330464,0.4505494505494505,0.6666666666666666,0.130428465763292,370.81439016922315,17.2,0.3114754098360655
Bulgaria,0.3818435116711298,0.72428810720268,0.6899183851376818,0.4960668633235005,0.6666666666666666,0.2698384272455291,761.7934887772677,29.0,0.9562841530054644
Poland,0.3780038254010122,0.7000216590859866,0.6650887443689358,0.4488304093567251,0.6666666666666666,0.0861661527669391,246.6795073127627,15.0,0.1912568306010929
Slovakia,0.3538268756376119,0.6930206588498046,0.673126813434556,0.4615768463073852,0.5833333333333334,0.070128487997049,201.70143222514736,16.7,0.2841530054644808
Romania,0.2715713407901504,0.6562066389155726,0.6470236804732549,0.4384976525821596,0.6666666666666666,0.0673453865744708,193.896147194113,27.4,0.8688524590163933
Austria,0.2531901469871829,0.6683450822423632,0.6809981880999545,0.4935129740518962,1.0,0.1003308476435499,286.40478645374355,18.6,0.3879781420765028
Germany,0.1821125196818274,0.681421864520456,0.6289399744385684,0.4889558232931726,0.8333333333333334,0.1315430951658912,373.9403992038486,21.2,0.5300546448087431
Latvia,0.0786634941541541,0.6317177711836465,0.6327365495213183,0.4931506849315069,0.5,0.065453085159563,188.58913545959172,24.7,0.721311475409836
Czech Republic,0.0579973919708936,0.6095617529880478,0.6141463386219933,0.4624134520276953,0.6666666666666666,0.0642459362075607,185.2036527858903,11.5,0.0
Estonia,0.0,0.5666214995483289,0.5894694445318726,0.4228855721393035,0.6666666666666666,0.1150475559149214,327.6782024510037,21.8,0.5628415300546449
