geo_label,energy_poverty_warmth_pct,year
Belgium,4.2,2025
Bulgaria,16.1,2025
Czechia,4.1,2025
Denmark,4.5,2025
Germany,5.7,2025
Estonia,3.1,2025
Ireland,4.5,2025
Greece,18.1,2025
Spain,15.9,2025
France,11.5,2025
Croatia,4.2,2025
Italy,8.6,2025
Cyprus,11.3,2025
Latvia,4.3,2025
Lithuania,16.7,2025
Luxembourg,3.5,2025
Hungary,5.8,2025
Malta,7.6,2025
Netherlands,6.6,2025
Austria,4.0,2025
Poland,3.2,2025
Portugal,15.6,2025
Romania,11.9,2025
Slovenia,3.6,2025
Slovakia,8.1,2025
Finland,2.6,2025
Sweden,4.7,2025
Norway,1.7,2025
Serbia,9.3,2025
Türkiye,19.5,2025
TIME,2025.0,2025
Belgium,6.9,2025
Bulgaria,24.0,2025
Czechia,6.9,2025
Denmark,6.7,2025
Germany,7.3,2025
Estonia,5.7,2025
Ireland,9.2,2025
Greece,26.3,2025
Spain,19.3,2025
France,16.0,2025
Croatia,12.6,2025
Italy,13.0,2025
Cyprus,12.3,2025
Latvia,10.3,2025
Lithuania,24.0,2025
Luxembourg,3.3,2025
Hungary,9.0,2025
Malta,11.1,2025
Netherlands,13.5,2025
Austria,6.1,2025
Poland,7.4,2025
Portugal,24.8,2025
Romania,15.6,2025
Slovenia,7.3,2025
Slovakia,9.0,2025
Finland,4.6,2025
Sweden,5.8,2025
Norway,2.5,2025
Serbia,21.4,2025
Türkiye,31.2,2025
TIME,2025.0,2025
Belgium,8.0,2025
Bulgaria,20.7,2025
Czechia,7.7,2025
Denmark,12.2,2025
Germany,10.0,2025
Estonia,6.9,2025
Ireland,13.1,2025
Greece,23.0,2025
Spain,23.2,2025
France,22.5,2025
Croatia,5.2,2025
Italy,11.4,2025
Cyprus,28.7,2025
Latvia,4.3,2025
Lithuania,18.3,2025
Luxembourg,9.3,2025
Hungary,8.7,2025
Malta,11.5,2025
Netherlands,20.9,2025
Austria,6.5,2025
Poland,5.6,2025
Portugal,18.6,2025
Romania,18.8,2025
Slovenia,7.2,2025
Slovakia,9.3,2025
Finland,5.0,2025
Sweden,7.8,2025
Norway,2.1,2025
Serbia,13.3,2025
Türkiye,43.1,2025
TIME,2025.0,2025
Belgium,8.5,2025
Bulgaria,16.6,2025
Czechia,6.0,2025
Denmark,8.1,2025
Germany,8.6,2025
Estonia,5.2,2025
Ireland,11.7,2025
Greece,25.4,2025
Spain,22.3,2025
France,17.1,2025
Croatia,8.4,2025
Italy,14.2,2025
Cyprus,13.7,2025
Latvia,8.4,2025
Lithuania,20.4,2025
Luxembourg,3.8,2025
Hungary,7.9,2025
Malta,14.0,2025
Netherlands,15.4,2025
Austria,6.7,2025
Poland,6.5,2025
Portugal,21.9,2025
Romania,12.9,2025
Slovenia,7.5,2025
Slovakia,7.4,2025
Finland,5.3,2025
Sweden,6.2,2025
Norway,2.4,2025
Serbia,17.3,2025
Türkiye,27.1,2025
TIME,2025.0,2025
Belgium,4.9,2025
Bulgaria,29.6,2025
Czechia,7.7,2025
Denmark,4.7,2025
Germany,5.0,2025
Estonia,6.4,2025
Ireland,6.3,2025
Greece,27.1,2025
Spain,15.0,2025
France,14.5,2025
Croatia,15.3,2025
Italy,11.8,2025
Cyprus,9.7,2025
Latvia,12.1,2025
Lithuania,29.4,2025
Luxembourg,2.1,2025
Hungary,10.0,2025
Malta,5.1,2025
Netherlands,9.9,2025
Austria,5.1,2025
Poland,8.1,2025
Portugal,26.9,2025
Romania,17.6,2025
Slovenia,7.1,2025
Slovakia,10.9,2025
Finland,3.5,2025
Sweden,5.0,2025
Norway,2.7,2025
Serbia,24.3,2025
Türkiye,37.7,2025
