country,poverty_rate,poverty_index
Türkiye,29.8,1.0
Bulgaria,29.0,0.9562841530054644
Greece,27.5,0.8743169398907104
Romania,27.4,0.8688524590163933
Lithuania,26.3,0.8087431693989071
Spain,25.7,0.7759562841530054
Latvia,24.7,0.721311475409836
Serbia,23.2,0.6393442622950819
Italy,22.6,0.6065573770491803
Estonia,21.8,0.5628415300546449
Germany,21.2,0.5300546448087431
France,20.8,0.5081967213114754
Croatia,20.7,0.5027322404371584
Hungary,19.5,0.4371584699453552
Malta,19.4,0.4316939890710382
Ireland,18.8,0.3989071038251366
Austria,18.6,0.3879781420765028
Sweden,18.6,0.3879781420765028
Portugal,18.6,0.3879781420765028
Luxembourg,18.2,0.36612021857923494
Denmark,17.9,0.34972677595628404
Finland,17.2,0.31147540983606553
Cyprus,17.1,0.3060109289617487
Slovakia,16.7,0.2841530054644808
Belgium,16.5,0.27322404371584696
Norway,16.1,0.2513661202185793
Netherlands,15.8,0.23497267759562845
Slovenia,15.5,0.2185792349726776
Poland,15.0,0.1912568306010929
Czechia,11.5,0.0
