country,Trust_In_Government_Avg,Public_Environmental_Priority_Avg,Trust_In_Government_Avg_norm,Public_Environmental_Priority_Avg_norm,social_license_score,social_license_rank
Tunisia,3.432,1.697,0.9920550847457626,1.0,0.9960275423728813,1
Venezuela,3.309,1.659,0.926906779661017,0.9095238095238095,0.9182152945924132,2
Iraq,3.274,1.597,0.9083686440677966,0.7619047619047618,0.8351367029862792,3
Romania,3.168,1.613,0.8522245762711865,0.7999999999999999,0.8261122881355932,4
Lebanon,3.09,1.628,0.8109110169491525,0.8357142857142854,0.8233126513317189,5
Guatemala,3.323,1.549,0.934322033898305,0.6476190476190474,0.7909705407586762,6
Serbia,3.053,1.582,0.7913135593220338,0.7261904761904763,0.758752017756255,7
Morocco,3.018,1.558,0.7727754237288135,0.6690476190476191,0.7209115213882162,8
Argentina,2.921,1.579,0.7213983050847457,0.7190476190476189,0.7202229620661823,9
Maldives,2.964,1.566,0.7441737288135593,0.6880952380952382,0.7161344834543988,10
United States of America,2.921,1.568,0.7213983050847457,0.692857142857143,0.7071277239709444,11
Greece,3.34,1.472,0.9433262711864405,0.46428571428571425,0.7038059927360774,12
Japan,2.609,1.627,0.5561440677966102,0.8333333333333333,0.6947387005649717,13
Czechia,2.839,1.568,0.6779661016949152,0.692857142857143,0.6854116222760291,14
Mexico,3.32,1.457,0.9327330508474575,0.4285714285714288,0.6806522397094432,15
Ukraine,3.16,1.492,0.8479872881355933,0.5119047619047619,0.6799460250201776,16
Nigeria,2.69,1.59,0.5990466101694915,0.7452380952380954,0.6721423527037934,17
Slovakia,3.148,1.487,0.8416313559322034,0.5000000000000002,0.6708156779661019,18
Peru,3.447,1.413,1.0,0.323809523809524,0.661904761904762,19
Libya,2.936,1.521,0.729343220338983,0.5809523809523808,0.6551478006456819,20
Armenia,2.897,1.521,0.7086864406779659,0.5809523809523808,0.6448194108151734,21
Cyprus,2.716,1.529,0.6128177966101696,0.5999999999999998,0.6064088983050846,22
Brazil,3.304,1.385,0.9242584745762711,0.2571428571428573,0.5907006658595642,23
Mongolia,2.696,1.517,0.6022245762711865,0.5714285714285712,0.5868265738498788,24
Jordan,2.811,1.488,0.663135593220339,0.5023809523809524,0.5827582728006457,25
Russia,2.484,1.556,0.4899364406779661,0.6642857142857144,0.5771110774818402,26
Kenya,2.573,1.535,0.5370762711864406,0.6142857142857141,0.5756809927360773,27
Chile,2.817,1.463,0.666313559322034,0.4428571428571431,0.5545853510895885,28
Pakistan,2.311,1.574,0.3983050847457627,0.7071428571428573,0.55272397094431,29
Ecuador,2.913,1.434,0.7171610169491525,0.37380952380952376,0.5454852703793381,30
Hong Kong,2.502,1.51,0.4994703389830507,0.5547619047619048,0.5271161218724778,31
Nicaragua,2.936,1.41,0.729343220338983,0.3166666666666666,0.5230049435028248,32
Thailand,2.399,1.494,0.44491525423728817,0.5166666666666667,0.48079096045197744,33
Zimbabwe,2.528,1.463,0.5132415254237288,0.4428571428571431,0.47804933414043593,34
United Kingdom,3.049,1.345,0.7891949152542372,0.161904761904762,0.4755498385794996,35
Ethiopia,2.201,1.533,0.34004237288135597,0.6095238095238094,0.47478309120258266,36
Kazakhstan,2.113,1.543,0.2934322033898305,0.6333333333333332,0.4633827683615819,37
Malaysia,2.518,1.444,0.5079449152542371,0.39761904761904754,0.45278198143664233,38
Colombia,3.117,1.309,0.8252118644067796,0.07619047619047623,0.45070117029862794,39
South Korea,2.523,1.427,0.5105932203389831,0.3571428571428573,0.4338680387409202,40
Iran,2.589,1.395,0.545550847457627,0.2809523809523811,0.4132516142050041,41
Canada,2.587,1.388,0.5444915254237289,0.2642857142857142,0.4043886198547215,42
Germany,2.622,1.38,0.5630296610169491,0.24523809523809512,0.4041338781275221,43
Australia,2.819,1.326,0.6673728813559322,0.11666666666666699,0.3920197740112996,44
Bangladesh,1.893,1.524,0.17690677966101698,0.5880952380952381,0.38250100887812755,45
India,2.174,1.457,0.3257415254237288,0.4285714285714288,0.3771564769975788,46
Bolivia,2.951,1.282,0.7372881355932204,0.011904761904762175,0.3745964487489913,47
Taiwan,2.547,1.368,0.5233050847457628,0.21666666666666703,0.3699858757062149,48
Tajikistan,1.569,1.583,0.0052966101694915295,0.7285714285714284,0.36693401937046,49
Uzbekistan,1.716,1.544,0.08315677966101696,0.6357142857142858,0.3594355326876514,50
Kyrgyzstan,2.529,1.351,0.5137711864406779,0.1761904761904763,0.3449808313155771,51
Netherlands,2.855,1.277,0.6864406779661016,0.0,0.3432203389830508,52
Burma/Myanmar,1.898,1.488,0.17955508474576268,0.5023809523809524,0.3409680185633575,53
Türkiye,2.13,1.43,0.30243644067796605,0.3642857142857142,0.33336107748184013,54
Singapore,1.994,1.452,0.23040254237288138,0.41666666666666663,0.323534604519774,55
Uruguay,2.49,1.341,0.4931144067796611,0.15238095238095245,0.3227476795803068,56
New Zealand,2.438,1.293,0.46557203389830515,0.03809523809523811,0.2518336359967716,57
Philippines,1.881,1.324,0.17055084745762714,0.11190476190476223,0.14122780468119467,58
Indonesia,1.853,1.323,0.15572033898305085,0.10952380952380958,0.1326220742534302,59
China,1.559,1.363,0.0,0.20476190476190487,0.10238095238095243,60
Vietnam,1.702,1.301,0.07574152542372882,0.057142857142857176,0.066442191283293,61
