geo_label,utility_bill_arrears_pct,year
Belgium,4.0,2025
Bulgaria,17.2,2025
Czechia,2.4,2025
Denmark,2.8,2025
Germany,4.6,2025
Estonia,5.7,2025
Ireland,8.8,2025
Greece,31.9,2025
Spain,9.2,2025
France,8.0,2025
Croatia,7.3,2025
Italy,5.9,2025
Cyprus,8.2,2025
Latvia,5.6,2025
Lithuania,4.1,2025
Luxembourg,4.7,2025
Hungary,6.3,2025
Malta,4.5,2025
Netherlands,2.2,2025
Austria,4.7,2025
Poland,2.6,2025
Portugal,3.6,2025
Romania,17.7,2025
Slovenia,5.4,2025
Slovakia,5.8,2025
Finland,7.6,2025
Sweden,4.4,2025
Norway,3.2,2025
Serbia,17.3,2025
Türkiye,17.6,2025
TIME,2025.0,2025
Belgium,3.5,2025
Bulgaria,14.8,2025
Czechia,1.5,2025
Denmark,3.4,2025
Germany,6.0,2025
Estonia,5.9,2025
Ireland,9.2,2025
Greece,33.4,2025
Spain,8.0,2025
France,7.0,2025
Croatia,9.3,2025
Italy,5.9,2025
Cyprus,7.2,2025
Latvia,6.4,2025
Lithuania,4.7,2025
Luxembourg,3.3,2025
Hungary,5.6,2025
Malta,3.0,2025
Netherlands,2.8,2025
Austria,6.8,2025
Poland,4.0,2025
Portugal,2.9,2025
Romania,16.0,2025
Slovenia,5.2,2025
Slovakia,2.9,2025
Finland,10.8,2025
Sweden,5.5,2025
Norway,3.4,2025
Serbia,21.4,2025
Türkiye,21.9,2025
TIME,2025.0,2025
Belgium,3.8,2025
Bulgaria,17.4,2025
Czechia,1.0,2025
Denmark,2.4,2025
Germany,3.5,2025
Estonia,3.4,2025
Ireland,7.7,2025
Greece,46.8,2025
Spain,5.3,2025
France,5.4,2025
Croatia,7.2,2025
Italy,5.1,2025
Cyprus,6.7,2025
Latvia,3.7,2025
Lithuania,2.9,2025
Luxembourg,4.0,2025
Hungary,4.5,2025
Malta,3.7,2025
Netherlands,1.8,2025
Austria,5.1,2025
Poland,3.0,2025
Portugal,2.8,2025
Romania,21.4,2025
Slovenia,5.8,2025
Slovakia,4.0,2025
Finland,7.7,2025
Sweden,3.6,2025
Norway,1.8,2025
Serbia,19.0,2025
Türkiye,23.8,2025
TIME,2025.0,2025
Belgium,3.7,2025
Bulgaria,16.3,2025
Czechia,1.2,2025
Denmark,2.9,2025
Germany,4.7,2025
Estonia,4.4,2025
Ireland,8.5,2025
Greece,41.3,2025
Spain,6.5,2025
France,6.1,2025
Croatia,8.0,2025
Italy,5.5,2025
Cyprus,6.9,2025
Latvia,4.7,2025
Lithuania,3.7,2025
Luxembourg,3.7,2025
Hungary,4.9,2025
Malta,3.3,2025
Netherlands,2.3,2025
Austria,5.9,2025
Poland,3.4,2025
Portugal,2.9,2025
Romania,19.2,2025
Slovenia,5.5,2025
Slovakia,3.6,2025
Finland,9.2,2025
Sweden,4.6,2025
Norway,2.6,2025
Serbia,20.0,2025
Türkiye,22.9,2025
TIME,2025.0,2025
Belgium,6.4,2025
Bulgaria,22.3,2025
Czechia,8.2,2025
Denmark,7.3,2025
Germany,8.3,2025
Estonia,16.8,2025
Ireland,33.0,2025
Greece,44.1,2025
Spain,15.5,2025
France,18.6,2025
Croatia,13.2,2025
Italy,10.3,2025
Cyprus,16.5,2025
Latvia,10.5,2025
Lithuania,8.6,2025
Luxembourg,11.5,2025
Hungary,12.3,2025
Malta,9.2,2025
Netherlands,8.0,2025
Austria,16.3,2025
Poland,9.2,2025
Portugal,10.1,2025
Romania,29.5,2025
Slovenia,18.5,2025
Slovakia,4.3,2025
Finland,13.8,2025
Sweden,10.1,2025
Norway,9.9,2025
Serbia,22.8,2025
Türkiye,35.8,2025
