country_code_3,Trust_In_Government_Avg,Public_Environmental_Priority_Avg
AND,2.558,1.343
ARG,2.921,1.579
ARM,2.897,1.521
AUS,2.819,1.326
BGD,1.893,1.524
BOL,2.951,1.282
BRA,3.304,1.385
CAN,2.587,1.388
CHL,2.817,1.463
CHN,1.559,1.363
COL,3.117,1.309
CYP,2.716,1.529
CZE,2.839,1.568
DEU,2.622,1.38
ECU,2.913,1.434
ETH,2.201,1.533
GBR,3.049,1.345
GRC,3.34,1.472
GTM,3.323,1.549
HKG,2.502,1.51
IDN,1.853,1.323
IND,2.174,1.457
IRN,2.589,1.395
IRQ,3.274,1.597
JOR,2.811,1.488
JPN,2.609,1.627
KAZ,2.113,1.543
KEN,2.573,1.535
KGZ,2.529,1.351
KOR,2.523,1.427
LBN,3.09,1.628
LBY,2.936,1.521
MAC,2.224,1.398
MAR,3.018,1.558
MDV,2.964,1.566
MEX,3.32,1.457
MMR,1.898,1.488
MNG,2.696,1.517
MYS,2.518,1.444
NGA,2.69,1.59
NIC,2.936,1.41
NIR,3.157,1.362
NLD,2.855,1.277
NZL,2.438,1.293
PAK,2.311,1.574
PER,3.447,1.413
PHL,1.881,1.324
PRI,3.308,1.408
ROU,3.168,1.613
RUS,2.484,1.556
SGP,1.994,1.452
SRB,3.053,1.582
SVK,3.148,1.487
THA,2.399,1.494
TJK,1.569,1.583
TUN,3.432,1.697
TUR,2.13,1.43
TWN,2.547,1.368
UKR,3.16,1.492
URY,2.49,1.341
USA,2.921,1.568
UZB,1.716,1.544
VEN,3.309,1.659
VNM,1.702,1.301
ZWE,2.528,1.463
